"# Dubai registered residential sales per day - TEX & TEX Real Estate, computed from Dubai Land Department open data, generated 2026-09-18. Free to republish with attribution and a link to https://data.tex.ae"
d,sales,value,median_psf
2026-09-16,341,950559098,1704
2026-09-15,359,813498838,1566
2026-09-14,463,914792075,1637
2026-09-12,65,98072648,1511
2026-09-11,593,1150012837,1633
2026-09-10,593,1288601990,1719
2026-09-09,666,1158521024,1708
2026-09-08,443,923341507,1583
2026-09-07,457,968632350,1607
2026-09-06,15,40554792,1932
2026-09-05,71,127843267,1625
2026-09-04,562,1248403168,1699
2026-09-03,576,1147445728,1633
2026-09-02,528,941448178,1688
2026-09-01,401,1159374477,1756
2026-08-31,580,1134889217,1749
2026-08-30,7,9654878,1258
2026-08-29,58,103010039,1588
2026-08-28,42,59330690,1672
2026-08-27,498,1198988431,1690
2026-08-26,445,1090390005,1603
2026-08-25,611,1258007083,1707
2026-08-24,468,853270666,1703
2026-08-23,14,14141728,1703
2026-08-22,83,112874687,1777
2026-08-21,467,961812385,1684
2026-08-20,535,1208553175,1630
2026-08-19,617,1376840778,1720
2026-08-18,619,1261003803,1679
2026-08-17,695,1353855975,1671
2026-08-16,4,6123200,1800
2026-08-15,60,78419440,1571
2026-08-14,470,975143233,1676
2026-08-13,477,869787969,1693
